"Name","Year","Rating","Tags","Watched.Date","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"Mission: Impossible - Ghost Protocol",2011,3.5,"streaming","2018-07-22",3.63,133,"thriller","Brad Bird","Tom Cruise","Bruce Geller","Paul Hirsch","Robert Elswit","Michael Giacchino","Tom Cruise","Paramount","United Arab Emirates","English"
"Mission: Impossible - Rogue Nation",2015,3.5,"streaming","2018-07-24",3.61,131,"adventure","Christopher McQuarrie","Tom Cruise","Christopher McQuarrie","Eddie Hamilton","Robert Elswit","Joe Kraemer","Tom Cruise","Paramount","USA","English"
"Won't You Be My Neighbor?",2018,4,"theatre","2018-07-25",4.18,95,"documentary","Morgan Neville","Fred Rogers",NA,"Jeff Malmberg","Graham Willoughby","Jonathan Kirkscey","Rick Rosenthal","Tremolo Productions","USA","English"
"Mission: Impossible - Fallout",2018,4,"theatre","2018-07-26",3.87,147,"action","Christopher McQuarrie","Tom Cruise","Christopher McQuarrie","Eddie Hamilton","Rob Hardy","Lorne Balfe","Tom Cruise","Paramount","China","English"
"Lean on Pete",2017,3.5,"streaming","2018-07-28",3.72,121,"drama","Andrew Haigh","Charlie Plummer","Andrew Haigh","Jonathan Alberts","Magnus Nordenhof Jønck","James Edward Baker","Lizzie Francke","The Bureau","UK","English"
"The Witch",2015,4,"streaming","2018-07-29",3.86,92,"drama","Robert Eggers","Anya Taylor-Joy","Robert Eggers","Louise Ford","Jarin Blaschke","Mark Korven","Mark Gingras","Very Special Projects","Canada","English"
"Blindspotting",2018,3.5,"theatre","2018-07-30",4.06,95,"drama","Carlos López Estrada","Daveed Diggs","Daveed Diggs","Gabriel Fleming","Robby Baumgartner","Michael Yezerski","Keith Calder","Summit Entertainment","USA","English"
"First Reformed",2017,5,"streaming","2018-07-31",3.98,113,"drama","Paul Schrader","Ethan Hawke","Paul Schrader","Ben Rodriguez Jr.","Alexander Dynan","Brian Williams","Christine Vachon","Arclight Films","USA","English"
"The Umbrellas of Cherbourg",1964,5,"blu-ray","2018-08-02",4.09,91,"romance","Jacques Demy","Catherine Deneuve","Jacques Demy","Anne-Marie Cotret","Jean Rabier","Michel Legrand","Gilbert de Goldschmidt","Parc Film","France","French"
"Eighth Grade",2018,4,"theatre","2018-08-03",3.88,94,"comedy","Bo Burnham","Elsie Fisher","Bo Burnham","Jennifer Lilly","Andrew Wehde","Anna Meredith","Scott Rudin","A24","USA","English"
