"Name","Year","Rating","Tags","Watched.Date","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"You Were Never Really Here",2017,4,"streaming","2018-08-04",3.69,89,"thriller","Lynne Ramsay","Joaquin Phoenix","Lynne Ramsay","Joe Bini","Thomas Townend","Jonny Greenwood","Rebecca O'Brien","Why Not Productions","UK","English"
"American Psycho",2000,3.5,"streaming","2018-08-06",3.92,102,"drama","Mary Harron","Christian Bale","Mary Harron","Andrew Marcus","Andrzej Sekula","David Bowie","Lauren McLaughlin","Muse Productions","Canada","English"
"The Big Lebowski",1998,4.5,"theatre","2018-08-08",4.12,117,"comedy","Joel Coen","Jeff Bridges","Joel Coen","Joel Coen","Roger Deakins","Carter Burwell","Ethan Coen","Gramercy Pictures","UK","English"
"BlacKkKlansman",2018,4,"theatre","2018-08-09",3.94,135,"comedy","Spike Lee","John David Washington","Spike Lee","Barry Alexander Brown","Chayse Irvin","Terence Blanchard","Sean McKittrick","Focus Features","USA","English"
"Insomnia",2002,3,"blu-ray","2018-08-10",3.45,118,"crime","Christopher Nolan","Al Pacino","Erik Skjoldbjærg","Dody Dorn","Wally Pfister","David Julyan","George Clooney","Alcon Entertainment","USA","English"
"Robin Williams: Come Inside My Mind",2018,3.5,"streaming","2018-08-14",3.85,116,"comedy","Marina Zenovich","Robin Williams",NA,"Greg Finton","Nick Higgins","Adam Dorn","David Steinberg","Jigsaw Productions","USA","English"
"BlacKkKlansman",2018,4,"theatre","2018-08-15",3.94,135,"comedy","Spike Lee","John David Washington","Spike Lee","Barry Alexander Brown","Chayse Irvin","Terence Blanchard","Sean McKittrick","Focus Features","USA","English"
"Don't Worry, He Won't Get Far on Foot",2018,3.5,"theatre","2018-08-16",3.38,113,"drama","Gus Van Sant","Joaquin Phoenix","Gus Van Sant","Gus Van Sant","Christopher Blauvelt","Danny Elfman","Steve Golin","Anonymous Content","USA","English"
"Tusk",2014,2,"streaming","2018-08-22",2.49,102,"thriller","Kevin Smith","Michael Parks","Kevin Smith","Kevin Smith","James Laxton","Christopher Drake","Jennifer Schwalbach Smith","Phase 4 Films","Canada","English"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,5,"blu-ray","2018-08-26",4.24,95,"drama","Stanley Kubrick","Peter Sellers","Stanley Kubrick","Anthony Harvey","Gilbert Taylor","Laurie Johnson","Stanley Kubrick","Hawk Films","UK","English"
"2001: A Space Odyssey",1968,5,"theatre","2018-08-28",4.32,149,"science-fiction","Stanley Kubrick","Keir Dullea","Stanley Kubrick","Ray Lovejoy","Geoffrey Unsworth",NA,"Stanley Kubrick","Stanley Kubrick Productions","UK","English"
"Laura",1944,3.5,"dvd","2018-08-29",3.97,88,"drama","Otto Preminger","Gene Tierney","Ring Lardner, Jr.","Louis R. Loeffler","Joseph LaShelle","Murray Spivack","Otto Preminger","20th Century Fox","USA","English"
"The Little Stranger",2018,2.5,"theatre","2018-09-01",2.75,111,"horror","Lenny Abrahamson","Domhnall Gleeson","Sarah Waters","Nathan Nugent","Ole Bratt Birkeland","Stephen Rennicks","Andrea Calderwood","Element Pictures","France","English"
"A Ghost Story",2017,4.5,"blu-ray","2018-09-04",3.75,93,"drama","David Lowery","Casey Affleck","David Lowery","David Lowery","Andrew Droz Palermo","Daniel Hart","Adam Donaghey","Sailor Bear","USA","English"
"Bicycle Thieves",1948,5,"dvd","2018-09-05",4.26,89,"drama","Vittorio De Sica","Lamberto Maggiorani","Vittorio De Sica","Eraldo Da Roma","Carlo Montuori","Alessandro Cicognini","Giuseppe Amato","Produzioni De Sica","Italy","Italian"
"Searching",2018,3.5,"theatre","2018-09-06",3.74,102,"thriller","Aneesh Chaganty","John Cho","Sev Ohanian","Nicholas D. Johnson","Juan Sebastian Baron","Torin Borrowdale","Timur Bekmambetov","Stage 6 Films","USA","English"
"Witness for the Prosecution",1957,3.5,"dvd","2018-09-12",4.19,116,"drama","Billy Wilder","Tyrone Power","Billy Wilder","Daniel Mandell","Russell Harlan","Matty Malneck","Edward Small","Edward Small Productions","USA","English"
"Mandy",2018,3,"theatre","2018-09-13",3.62,122,"action","Panos Cosmatos","Nicolas Cage","Panos Cosmatos","Brett W. Bachman","Benjamin Loeb","Jóhann Jóhannsson","Elijah Wood","SpectreVision","USA","English"
"In the Mood for Love",2000,5,"dvd","2018-09-19",4.36,99,"drama","Wong Kar-wai","Tony Leung Chiu-wai","Wong Kar-wai","William Chang","Christopher Doyle","Michael Galasso","Wong Kar-wai","Block 2 Pictures","China","Cantonese"
"Assassination Nation",2018,3.5,"theatre","2018-09-22",3.15,108,"crime","Sam Levinson","Odessa Young","Sam Levinson","Ron Patane","Marcell Rév","Ian Hultquist","David S. Goyer","Bron Studios","Canada","English"
"Notorious",1946,4,"blu-ray","2018-09-26",4.03,103,"thriller","Alfred Hitchcock","Ingrid Bergman","Alfred Hitchcock","Theron Warth","Ted Tetzlaff","Roy Webb","Alfred Hitchcock","RKO Radio Pictures","USA","English"
"Blue Gold: World Water Wars",2008,NA,"streaming","2018-10-02",3.35,90,"documentary","Sam Bozzo","Malcolm McDowell",NA,"Sam Bozzo","Sam Bozzo","Thomas Aichinger","Si Litvinoff","Purple Turtle Films","USA","English"
"Man with a Movie Camera",1929,NA,"streaming","2018-10-03",4.22,68,"documentary","Dziga Vertov","Mikhail Kaufman","Dziga Vertov","Elizaveta Svilova","Mikhail Kaufman",NA,"Star Mishkel-Eneva","VUFKU (All-Ukrainian Photo-Cinema Administration)","USSR","Russian"
"Scott Pilgrim vs. the World",2010,4.5,"blu-ray","2018-10-05",3.88,112,"romance","Edgar Wright","Michael Cera","Edgar Wright","Jonathan Amos","Bill Pope","Nigel Godrich","Edgar Wright","Universal Pictures","UK","English"
"Venom",2018,1.5,"theatre","2018-10-07",2.85,112,"action","Ruben Fleischer","Tom Hardy","Scott Rosenberg","Alan Baumgarten","Matthew Libatique","Ludwig Göransson","Tom Hardy","Avi Arad Productions","China","English"
"A Star Is Born",2018,3,"theatre","2018-10-08",3.64,136,"drama","Bradley Cooper","Bradley Cooper","Eric Roth","Jay Cassidy","Matthew Libatique",NA,"Jon Peters","Thunder Road","USA","English"
"Singin' in the Rain",1952,5,"dvd","2018-10-10",4.26,103,"comedy","Stanley Donen","Gene Kelly","Adolph Green","Adrienne Fazan","Harold Rosson","Lennie Hayton","Arthur Freed","Metro-Goldwyn-Mayer","USA","English"
"First Man",2018,3,"theatre","2018-10-12",3.65,141,"drama","Damien Chazelle","Ryan Gosling","Josh Singer","Tom Cross","Linus Sandgren","Justin Hurwitz","Steven Spielberg","DreamWorks Pictures","USA","English"
"Shaun of the Dead",2004,4.5,"blu-ray","2018-10-13",3.99,99,"comedy","Edgar Wright","Simon Pegg","Edgar Wright","Chris Dickens","David M. Dunlap","Dan Mudford","Natascha Wharton","De Wolfe Music","UK","English"
"Bad Times at the El Royale",2018,3,"theatre","2018-10-15",3.49,141,"mystery","Drew Goddard","Jeff Bridges","Drew Goddard","Lisa Lassek","Seamus McGarvey","Michael Giacchino","Drew Goddard","20th Century Fox","USA","English"
"Do the Right Thing",1989,5,"blu-ray","2018-10-17",4.34,120,"drama","Spike Lee","Danny Aiello","Spike Lee","Barry Alexander Brown","Ernest R. Dickerson","Bill Lee","Spike Lee","40 Acres and a Mule Filmworks","USA","English"
"Halloween",1978,3,"streaming","2018-10-18",3.92,91,"thriller","John Carpenter","Donald Pleasence","Debra Hill","Charles Bornstein","Dean Cundey","John Carpenter","Debra Hill","Compass International Pictures","USA","English"
"Daughters of the Dust",1991,3.5,"streaming","2018-10-24",3.78,112,"drama","Julie Dash","Cora Lee Day","Julie Dash","Amy Carey","Arthur Jafa","John Barnes","Lindsay Law","WMG Film","USA","English"
"Halloween",2018,2.5,"theatre","2018-10-25",3.27,106,"thriller","David Gordon Green","Jamie Lee Curtis","Danny McBride","Colin Patton","Michael Simmonds","John Carpenter","Jamie Lee Curtis","Universal Pictures","USA","English"
"mid90s",2018,3,"theatre","2018-10-27",3.72,86,"drama","Jonah Hill","Sunny Suljic","Jonah Hill","Nick Houy","Christopher Blauvelt","Trent Reznor","Scott Rudin","Waypoint Entertainment","USA","English"
"First Reformed",2017,5,"blu-ray","2018-10-28",3.98,113,"drama","Paul Schrader","Ethan Hawke","Paul Schrader","Ben Rodriguez Jr.","Alexander Dynan","Brian Williams","Christine Vachon","Arclight Films","USA","English"
"The Old Man & the Gun",2018,3.5,"theatre","2018-10-30",3.49,94,"drama","David Lowery","Robert Redford","David Lowery","Lisa Zeno Churgin","Joe Anderson","Daniel Hart","Robert Redford","Condé Nast Entertainment","USA","English"
"20 Feet from Stardom",2013,3.5,"blu-ray","2018-10-31",3.64,89,"music","Morgan Neville","Darlene Love",NA,NA,NA,NA,"Morgan Neville","Tremolo Productions","USA","English"
"Suspiria",2018,3.5,"theatre","2018-11-02",3.74,152,"horror","Luca Guadagnino","Dakota Johnson","David Kajganich","Walter Fasano","Sayombhu Mukdeeprom","Thom Yorke","James Vanderbilt","Muskat Filmed Properties","Italy","English"
"Bohemian Rhapsody",2018,2.5,"theatre","2018-11-03",3.38,135,"music","Bryan Singer","Rami Malek","Peter Morgan","John Ottman","Newton Thomas Sigel",NA,"Arnon Milchan","GK Films","UK","English"
"High Noon",1952,3.5,"dvd","2018-11-07",3.88,85,"thriller","Fred Zinnemann","Gary Cooper","Carl Foreman","Elmo Williams","Floyd Crosby","Dimitri Tiomkin","Carl Foreman","Stanley Kramer Productions","USA","English"
"Green Book",2018,2.5,"theatre","2018-11-08",3.63,130,"comedy","Peter Farrelly","Viggo Mortensen","Peter Farrelly","Patrick J. Don Vito","Sean Porter","Kris Bowers","John Sloss","Participant","USA","English"
"Beautiful Boy",2018,2.5,"theatre","2018-11-11",3.73,121,"drama","Felix van Groeningen","Steve Carell","Luke Davies","Nico Leunen","Ruben Impens",NA,"Brad Pitt","Plan B Entertainment","USA","English"
"Alien",1979,4,"dvd","2018-11-14",4.29,117,"science-fiction","Ridley Scott","Sigourney Weaver","Dan O'Bannon","Terry Rawlings","Derek Vanlint","Jerry Goldsmith","David Giler","Brandywine Productions","USA","English"
"Boy Erased",2018,3,"theatre","2018-11-16",3.33,115,"drama","Joel Edgerton","Lucas Hedges","Joel Edgerton","Jay Rabinowitz","Eduard Grau","Saunder Jurriaans","Steve Golin","Anonymous Content","Australia","English"
"Overlord",2018,2.5,"theatre","2018-11-18",3.26,110,"war","Julius Avery","Jovan Adepo","Billy Ray","Matt Evans","Laurie Rose","Jed Kurzel","J.J. Abrams","Bad Robot","Canada","English"
"Widows",2018,4,"theatre","2018-11-22",3.56,129,"crime","Steve McQueen","Viola Davis","Steve McQueen","Joe Walker","Sean Bobbitt","Hans Zimmer","Arnon Milchan","New Regency Pictures","USA","English"
"Wildlife",2018,3.5,"theatre","2018-11-23",3.58,105,"drama","Paul Dano","Jake Gyllenhaal","Paul Dano","Matthew Hannam","Diego García","David Lang","Jake Gyllenhaal","Sight Unseen Pictures","USA","English"
"Pariah",2011,4,"dvd","2018-11-28",3.99,86,"drama","Dee Rees","Adepero Oduye","Dee Rees","Mako Kamitsuna","Bradford Young","Tamar-kali","Spike Lee","NorthStar Pictures","USA","English"
"Strange Days",1995,2.5,"dvd","2018-12-05",3.64,145,"drama","Kathryn Bigelow","Ralph Fiennes","James Cameron","Howard E. Smith","Matthew F. Leonetti","Graeme Revell","Steven-Charles Jaffe","Lightstorm Entertainment","USA","English"
"Creed II",2018,3,"theatre","2018-12-06",3.49,130,"drama","Steven Caple Jr.","Michael B. Jordan","Sylvester Stallone","Dana E. Glauberman","Kramer Morgenthau","Ludwig Göransson","Irwin Winkler","Metro-Goldwyn-Mayer","USA","English"
"Spider-Man: Into the Spider-Verse",2018,4.5,"theatre","2018-12-07",4.43,117,"action","Rodney Rothman","Shameik Moore","Rodney Rothman","Robert Fisher Jr.",NA,"Daniel Pemberton","Stan Lee","Sony Pictures","USA","English"
"Gran Torino",2008,1.5,"","2018-12-14",3.72,116,"drama","Clint Eastwood","Clint Eastwood","Nick Schenk","Joel Cox","Tom Stern","Kyle Eastwood","Clint Eastwood","Matten Productions","USA","English"
"Dirty Harry",1971,3.5,"streaming","2018-12-15",3.73,102,"thriller","Don Siegel","Clint Eastwood","John Milius","Carl Pingitore","Bruce Surtees","Lalo Schifrin","Clint Eastwood","Warner Bros. Pictures","USA","English"
"Little Miss Sunshine",2006,4,"streaming","2018-12-17",4.04,102,"drama","Jonathan Dayton","Greg Kinnear","Michael Arndt","Pamela Martin","Tim Suhrstedt","Mychael Danna","Peter Saraf","Fox Searchlight Pictures","USA","English"
"The Princess Bride",1987,3.5,"blu-ray","2018-12-18",4.07,99,"romance","Rob Reiner","Cary Elwes","William Goldman","Robert Leighton","Adrian Biddle","Mark Knopfler","Rob Reiner","The Princess Bride Ltd.","USA","English"
"Aquaman",2018,2.5,"theatre","2018-12-20",2.97,143,"action","James Wan","Jason Momoa","James Wan","Kirk M. Morri","Don Burgess","Rupert Gregson-Williams","Charles Roven","DC Comics","Australia","English"
"First Reformed",2017,5,"blu-ray","2018-12-21",3.98,113,"drama","Paul Schrader","Ethan Hawke","Paul Schrader","Ben Rodriguez Jr.","Alexander Dynan","Brian Williams","Christine Vachon","Arclight Films","USA","English"
"What We Do in the Shadows",2014,4,"streaming","2018-12-22",4.09,86,"horror","Taika Waititi","Taika Waititi","Taika Waititi","Jonathan Woodford-Robinson","Richard Bluck","Plan 9","Taika Waititi","Unison Films","New Zealand","English"
"The Favourite",2018,4.5,"theatre","2018-12-25",4.03,119,"comedy","Yorgos Lanthimos","Olivia Colman","Tony McNamara","Yorgos Mavropsaridis","Robbie Ryan",NA,"Andrew Lowe","Waypoint Entertainment","Ireland","English"
"Spider-Man: Into the Spider-Verse",2018,4.5,"theatre","2018-12-26",4.43,117,"action","Rodney Rothman","Shameik Moore","Rodney Rothman","Robert Fisher Jr.",NA,"Daniel Pemberton","Stan Lee","Sony Pictures","USA","English"
"Vice",2018,2,"theatre","2018-12-29",3.32,132,"comedy","Adam McKay","Christian Bale","Adam McKay","Hank Corwin","Greig Fraser","Nicholas Britell","Brad Pitt","Plan B Entertainment","USA","English"
"Roma",2018,4.5,"streaming","2018-12-31",4.08,135,"drama","Alfonso Cuarón","Yalitza Aparicio","Alfonso Cuarón","Alfonso Cuarón","Alfonso Cuarón","Steven Price","Alfonso Cuarón","Participant","USA","Spanish"
"Batman Begins",2005,3.5,"streaming","2019-01-01",3.78,140,"drama","Christopher Nolan","Christian Bale","Christopher Nolan","Lee Smith","Wally Pfister","Hans Zimmer","Larry J. Franco","Warner Bros. Pictures","UK","English"
"The Dark Knight",2008,4.5,"streaming","2019-01-02",4.42,152,"action","Christopher Nolan","Christian Bale","Christopher Nolan","Lee Smith","Wally Pfister","Hans Zimmer","Charles Roven","DC Comics","UK","English"
"Green Room",2015,3.5,"streaming","2019-01-08",3.71,95,"crime","Jeremy Saulnier","Anton Yelchin","Jeremy Saulnier","Julia Bloch","Sean Porter","Brooke Blair","Neil Kopp","filmscience","USA","English"
"Ben Is Back",2018,2.5,"theatre","2019-01-10",3.26,103,"drama","Peter Hedges","Julia Roberts","Peter Hedges","Ian Blume","Stuart Dryburgh","Dickon Hinchliffe","Peter Hedges","Black Bear Pictures","USA","English"
"Unbreakable",2000,4.5,"streaming","2019-01-13",3.67,106,"thriller","M. Night Shyamalan","Bruce Willis","M. Night Shyamalan","Dylan Tichenor","Eduardo Serra","James Newton Howard","Sam Mercer","Limited Edition Productions Inc.","USA","English"
"Split",2016,3,"streaming","2019-01-15",3.5,117,"horror","M. Night Shyamalan","James McAvoy","M. Night Shyamalan","Luke Ciarrocchi","Mike Gioulakis","West Dylan Thordson","M. Night Shyamalan","Universal Pictures","USA","English"
"Glass",2019,2.5,"theatre","2019-01-17",2.96,129,"drama","M. Night Shyamalan","James McAvoy","M. Night Shyamalan","Blu Murray","Mike Gioulakis","West Dylan Thordson","M. Night Shyamalan","Universal Pictures","USA","English"
"The Simpsons Movie",2007,2.5,"streaming","2019-01-22",3.31,87,"animation","David Silverman","Dan Castellaneta","Matt Groening","John Carnochan",NA,"Hans Zimmer","Matt Groening","AKOM Production Company","USA","English"
"The Favourite",2018,4.5,"theatre","2019-01-26",4.03,119,"comedy","Yorgos Lanthimos","Olivia Colman","Tony McNamara","Yorgos Mavropsaridis","Robbie Ryan",NA,"Andrew Lowe","Waypoint Entertainment","Ireland","English"
"A Simple Favor",2018,2,"blu-ray","2019-01-27",3.24,117,"comedy","Paul Feig","Anna Kendrick","Jessica Sharzer","Brent White","John Schwartzman","Theodore Shapiro","Paul Feig","Feigco Entertainment","Canada","English"
"Searching",2018,3.5,"blu-ray","2019-02-02",3.74,102,"thriller","Aneesh Chaganty","John Cho","Sev Ohanian","Nicholas D. Johnson","Juan Sebastian Baron","Torin Borrowdale","Timur Bekmambetov","Stage 6 Films","USA","English"
"Velvet Buzzsaw",2019,1.5,"streaming","2019-02-03",2.43,113,"horror","Dan Gilroy","Jake Gyllenhaal","Dan Gilroy","John Gilroy","Robert Elswit","Marco Beltrami","Jennifer Fox","Dease Pictures","USA","English"
"They Shall Not Grow Old",2018,4,"theatre","2019-02-07",4.03,99,"war","Peter Jackson","Thomas Adlam","Peter Jackson","Jabez Olssen",NA,NA,"Tessa Ross","Imperial War Museums","New Zealand","English"
"The Lego Movie 2: The Second Part",2019,3,"theatre","2019-02-10",3.15,106,"comedy","Mike Mitchell","Chris Pratt","Phil Lord","Clare Knight",NA,"Mark Mothersbaugh","Michael Uslan","Vertigo Entertainment","USA","English"
"The Ballad of Buster Scruggs",2018,3.5,"streaming","2019-02-20",3.61,132,"western","Joel Coen","Tim Blake Nelson","Joel Coen","Joel Coen","Bruno Delbonnel","Carter Burwell","Joel Coen","Annapurna Pictures","USA","English"
"Alita: Battle Angel",2019,2.5,"theatre","2019-02-23",3.2,122,"action","Robert Rodriguez","Rosa Salazar","James Cameron","Stephen E. Rivkin","Bill Pope","Junkie XL","Robert Rodriguez","Troublemaker Studios","USA","English"
"A Star Is Born",2018,3,"blu-ray","2019-02-24",3.64,136,"drama","Bradley Cooper","Bradley Cooper","Eric Roth","Jay Cassidy","Matthew Libatique",NA,"Jon Peters","Thunder Road","USA","English"
"How to Train Your Dragon: The Hidden World",2019,3,"theatre","2019-02-25",3.64,104,"family","Dean DeBlois","Jay Baruchel","Cressida Cowell","John K. Carr","Gil Zimmerman","John Powell","Bonnie Arnold","DreamWorks Animation","USA","English"
"Climax",2018,4,"streaming","2019-03-04",3.73,97,"music","Gaspar Noé","Sofia Boutella","Gaspar Noé","Gaspar Noé","Benoît Debie",NA,"Vincent Maraval","Wild Bunch","Belgium","French"
"Zodiac",2007,4.5,"streaming","2019-03-06",3.98,157,"mystery","David Fincher","Jake Gyllenhaal","James Vanderbilt","Angus Wall","Harris Savides","David Shire","Ceán Chaffin","Paramount","USA","English"
"Gloria Bell",2018,3.5,"theatre","2019-03-09",3.28,102,"drama","Sebastián Lelio","Julianne Moore","Sebastián Lelio","Soledad Salfate","Natasha Braier","Matthew Herbert","Julianne Moore","FilmNation Entertainment","Chile","English"
"Captain Marvel",2019,3,"theatre","2019-03-11",3.07,124,"science-fiction","Ryan Fleck","Brie Larson","Ryan Fleck","Elliot Graham","Ben Davis","Pinar Toprak","Stan Lee","Marvel Studios","USA","English"
"Green Book",2018,2.5,"blu-ray","2019-03-16",3.63,130,"comedy","Peter Farrelly","Viggo Mortensen","Peter Farrelly","Patrick J. Don Vito","Sean Porter","Kris Bowers","John Sloss","Participant","USA","English"
"The Kid",2019,2,"theatre","2019-03-16",2.77,100,"western","Vincent D'Onofrio","Ethan Hawke","Vincent D'Onofrio","Katie McQuerrey","Matthew J. Lloyd","Latham Gaines","Sam Maydew","Suretone Pictures","USA","English"
"Get Out",2017,4.5,"blu-ray","2019-03-20",4.17,104,"thriller","Jordan Peele","Daniel Kaluuya","Jordan Peele","Gregory Plotkin","Denson Baker","Michael Abels","Sean McKittrick","Monkeypaw Productions","USA","English"
"Us",2019,3.5,"theatre","2019-03-21",3.72,116,"horror","Jordan Peele","Lupita Nyong'o","Jordan Peele","Nicholas Monsour","Mike Gioulakis","Michael Abels","Sean McKittrick","Monkeypaw Productions","USA","English"
"Shazam!",2019,2.5,"theatre","2019-03-23",3.34,132,"comedy","David F. Sandberg","Zachary Levi","Darren Lemke","Michel Aller","Maxime Alexandre","Benjamin Wallfisch","Michael Uslan","DC Entertainment","USA","English"
"Spider-Man: Into the Spider-Verse",2018,4.5,"blu-ray","2019-03-30",4.43,117,"action","Rodney Rothman","Shameik Moore","Rodney Rothman","Robert Fisher Jr.",NA,"Daniel Pemberton","Stan Lee","Sony Pictures","USA","English"
"The Favourite",2018,4.5,"dvd","2019-04-07",4.03,119,"comedy","Yorgos Lanthimos","Olivia Colman","Tony McNamara","Yorgos Mavropsaridis","Robbie Ryan",NA,"Andrew Lowe","Waypoint Entertainment","Ireland","English"
"The Man Who Killed Don Quixote",2018,2,"theatre","2019-04-10",3.19,133,"drama","Terry Gilliam","Adam Driver","Terry Gilliam","Lesley Walker","Nicola Pecorini","Roque Baños","Jeremy Thomas","Tornasol Films","Belgium","English"
"If Beale Street Could Talk",2018,4,"dvd","2019-04-13",3.94,120,"romance","Barry Jenkins","KiKi Layne","Barry Jenkins","Nat Sanders","James Laxton","Nicholas Britell","Brad Pitt","Annapurna Pictures","USA","English"
"Captain America: The First Avenger",2011,3,"streaming","2019-04-15",3.33,124,"science-fiction","Joe Johnston","Chris Evans","Christopher Markus","Robert Dalva","Shelly Johnson","Alan Silvestri","Joe Johnston","Marvel Studios","USA","English"
"The Avengers",2012,3.5,"streaming","2019-04-22",3.68,143,"science-fiction","Joss Whedon","Robert Downey Jr.","Joss Whedon","Jeffrey Ford","Seamus McGarvey","Alan Silvestri","Stan Lee","Marvel Studios","USA","English"
"Avengers: Age of Ultron",2015,3,"streaming","2019-04-23",3.12,141,"science-fiction","Joss Whedon","Robert Downey Jr.","Joss Whedon","Jeffrey Ford","Ben Davis","Danny Elfman","Stan Lee","Marvel Studios","USA","English"
"Avengers: Infinity War",2018,3.5,"streaming","2019-04-24",3.95,149,"adventure","Anthony Russo","Robert Downey Jr.","Christopher Markus","Jeffrey Ford","Trent Opaloch","Alan Silvestri","Stan Lee","Marvel Studios","USA","English"
"Avengers: Endgame",2019,3.5,"theatre","2019-04-25",3.91,181,"adventure","Anthony Russo","Robert Downey Jr.","Christopher Markus","Jeffrey Ford","Trent Opaloch","Alan Silvestri","Stan Lee","Marvel Studios","USA","English"
"Burning",2018,4,"streaming","2019-04-29",4,148,"mystery","Lee Chang-dong","Yoo Ah-in","Lee Chang-dong","Kim Hyun","Hong Kyung-pyo","Mowg","Lee Chang-dong","Pinehouse Film","South Korea","Korean"
"The Departed",2006,4.5,"streaming","2019-04-30",4.19,151,"thriller","Martin Scorsese","Jack Nicholson","William Monahan","Thelma Schoonmaker","Michael Ballhaus","Howard Shore","Brad Pitt","Vertigo Entertainment","USA","English"
"Avengers: Endgame",2019,3.5,"theatre","2019-05-01",3.91,181,"adventure","Anthony Russo","Robert Downey Jr.","Christopher Markus","Jeffrey Ford","Trent Opaloch","Alan Silvestri","Stan Lee","Marvel Studios","USA","English"
"The Matrix",1999,4,"streaming","2019-05-10",4.14,136,"science-fiction","Lilly Wachowski","Keanu Reeves","Lilly Wachowski","Zach Staenberg","Bill Pope","Don Davis","Barrie M. Osborne","Village Roadshow Pictures","Australia","English"
"John Wick",2014,4,"streaming","2019-05-13",3.8,101,"thriller","Chad Stahelski","Keanu Reeves","Derek Kolstad","Elísabet Ronaldsdóttir","Jonathan Sela","Tyler Bates","Keanu Reeves","Summit Entertainment","USA","English"
"John Wick: Chapter 2",2017,4,"streaming","2019-05-13",3.69,122,"thriller","Chad Stahelski","Keanu Reeves","Derek Kolstad","Evan Schiff","Dan Laustsen","Tyler Bates","Robert Bernacchi","Thunder Road","USA","English"
"John Wick: Chapter 3 - Parabellum",2019,4,"theatre","2019-05-16",3.68,130,"thriller","Chad Stahelski","Keanu Reeves","Derek Kolstad","Evan Schiff","Dan Laustsen","Tyler Bates","Chad Stahelski","Summit Entertainment","USA","English"
"Burn After Reading",2008,3.5,"streaming","2019-05-17",3.54,96,"drama","Ethan Coen","George Clooney","Joel Coen","Joel Coen","Emmanuel Lubezki","Carter Burwell","Joel Coen","Focus Features","Michael Countryman","English"
"Barton Fink",1991,4.5,"streaming","2019-05-20",3.98,117,"drama","Joel Coen","John Turturro","Joel Coen","Joel Coen","Roger Deakins","Carter Burwell","Ethan Coen","Working Title Films","UK","English"
"PokÃ©mon Detective Pikachu",2019,2.5,"theatre","2019-05-21",3.1,105,"fantasy","Rob Letterman","Ryan Reynolds","Rob Letterman","Mark Sanger","John Mathieson","Henry Jackman","Cale Boyter","Legendary Pictures","Japan","English"
"Get Out",2017,4.5,"streaming","2019-05-24",4.17,104,"thriller","Jordan Peele","Daniel Kaluuya","Jordan Peele","Gregory Plotkin","Denson Baker","Michael Abels","Sean McKittrick","Monkeypaw Productions","USA","English"
"Gone Girl",2014,4,"streaming","2019-05-25",4.05,149,"drama","David Fincher","Ben Affleck","Gillian Flynn","Kirk Baxter","Jeff Cronenweth","Trent Reznor","Arnon Milchan","Regency Enterprises","USA","English"
"Ma",2019,1.5,"theatre","2019-05-30",2.52,99,"thriller","Tate Taylor","Octavia Spencer","Scotty Landes","Lee Jin","Christina Voros","Gregory Tripi","Octavia Spencer","Universal Pictures","USA","English"
"Booksmart",2019,2.5,"theatre","2019-06-06",3.86,102,"comedy","Olivia Wilde","Beanie Feldstein","Emily Halpern","Brent White","Jason McCormick","Dan the Automator","Will Ferrell","Annapurna Pictures","USA","English"
"This Is the End",2013,2,"streaming","2019-06-06",3.18,107,"comedy","Seth Rogen","James Franco","Seth Rogen","Zene Baker","Brandon Trost","Henry Jackman","Barbara A. Hall","Columbia Pictures","USA","English"
"Rocketman",2019,3.5,"theatre","2019-06-09",3.68,121,"drama","Dexter Fletcher","Taron Egerton","Lee Hall","Chris Dickens","George Richmond","Matthew Margeson","Lawrence Bender","Paramount","UK","English"
"Aladdin",2019,2,"theatre","2019-06-11",3.04,128,"fantasy","Guy Ritchie","Mena Massoud","Guy Ritchie","James Herbert","Alan Stewart","Alan Menken","Dan Lin","Walt Disney Pictures","USA","English"
"The Dead Don't Die",2019,3.5,"theatre","2019-06-13",2.72,104,"fantasy","Jim Jarmusch","Bill Murray","Jim Jarmusch","Affonso Gonçalves","Frederick Elmes",NA,"Joshua Astrachan","Animal Kingdom","Sweden","English"
"Can You Ever Forgive Me?",2018,3.5,"streaming","2019-06-15",3.62,107,"crime","Marielle Heller","Melissa McCarthy","Nicole Holofcener","Anne McCabe","Brandon Trost","Nate Heller","Bob Balaban","Archer Gray","USA","English"
"Nightcrawler",2014,4,"streaming","2019-06-21",4.03,118,"crime","Dan Gilroy","Jake Gyllenhaal","Dan Gilroy","John Gilroy","Robert Elswit","James Newton Howard","Jake Gyllenhaal","Sierra/Affinity","USA","English"
"Bill & Ted's Excellent Adventure",1989,3.5,"streaming","2019-06-23",3.65,90,"adventure","Stephen Herek","Keanu Reeves","Ed Solomon","Larry Bock","Tim Suhrstedt","David Newman","Scott Kroopf","Orion Pictures","USA","English"
"The Texas Chain Saw Massacre",1974,3,"streaming","2019-06-25",3.91,83,"horror","Tobe Hooper","Marilyn Burns","Tobe Hooper","J. Larry Carroll","Daniel Pearl","Tobe Hooper","Tobe Hooper","Vortex","USA","English"
